Corian Everest;cor020;Corian Everest;2;3
Corian Linen;cor021;Linen;3;2
Corian Abalone;cor022;Corian_Abalone;3;2
Corian Aurora;cor023;Aurora;3;2
Corian Sandstone;cor024;Corian_Sandstone;3;2
Corian Mojave;cor025;Mojave;3;2
Corian Aqua;cor026;Aqua;5;2
Corian Matterhorn;cor027;Corian_Matterhorn;8;2
Corian Canyon;cor028;Corian_Canyon;8; 
Corian Silt;cor029;Corian_Silt;8;2
Corian Shale;cor030;Corian_Shale;8;2
Corian Dusk;cor031;Corian_Dusk;4;2
Corian Eclipse;cor032;CorianEclipse;4;2
Corian Dove;cor033;Dove;4;2
Corian Mont Blanc;cor034;mont_blanc;4;2
Corian Midnight;cor035;Corian_Midnight;4;2
